city,state,males,females,lat,lng,id,state name,Total
Abbeville,LA,1,0,29.9746502,-92.1342921,22,Louisiana,1
Algiers,LA,2,0,29.9510514,-90.08108878,22,Louisiana,2
Ascension Parish,LA,1,0,30.20465845,-90.88963011,22,Louisiana,1
Avondale,LA,3,0,29.9129834,-90.2036869,22,Louisiana,3
Baker,LA,1,0,30.5882429,-91.168163,22,Louisiana,1
Baton Rouge,LA,46,8,30.4507462,-91.154551,22,Louisiana,54
Bayou Vista,LA,1,1,30.2813059,-89.8175651,22,Louisiana,2
Blanchard,LA,1,0,32.580983,-93.8926813,22,Louisiana,1
Bossier City,LA,3,2,32.5064115,-93.65183813,22,Louisiana,5
Bossier City ,LA,1,0,32.5064115,-93.65183813,22,Louisiana,1
Caddo Parish,LA,1,0,32.60755,-93.90238918,22,Louisiana,1
Calcasieu Parish,LA,1,0,30.26537195,-93.36916972,22,Louisiana,1
Carencro,LA,2,0,30.317144,-92.0490096,22,Louisiana,2
Chalmette,LA,1,0,29.9427037,-89.9634017,22,Louisiana,1
Charenton,LA,2,0,29.8815936,-91.5251127,22,Louisiana,2
Covington,LA,1,0,30.4754702,-90.1009108,22,Louisiana,1
Creston,LA,1,0,31.9759941,-93.049884,22,Louisiana,1
Crowley,LA,1,0,30.2140928,-92.3745761,22,Louisiana,1
DeRidder,LA,1,0,30.8463055,-93.2890528,22,Louisiana,1
Denham Springs,LA,2,0,30.4868564,-90.9562125,22,Louisiana,2
Donaldsonville,LA,2,0,30.1010324,-90.9928774,22,Louisiana,2
Duson,LA,1,0,30.2357577,-92.1854035,22,Louisiana,1
East Baton Rouge,LA,1,0,30.4143987,-91.1774318,22,Louisiana,1
Ebarb,LA,1,0,31.635777,-93.648603,22,Louisiana,1
Edgard,LA,1,0,30.0432578,-90.5600869,22,Louisiana,1
Ferriday,LA,1,0,31.6301664,-91.5545649,22,Louisiana,1
Garyville,LA,1,0,30.056035,-90.6192554,22,Louisiana,1
Geismar,LA,1,0,30.2043633,-91.0226013,22,Louisiana,1
Gentilly,LA,4,0,30.0156248,-90.0518356,22,Louisiana,4
Gonzales,LA,1,0,30.2385294,-90.9200987,22,Louisiana,1
Gray,LA,1,0,29.6977108,-90.786481,22,Louisiana,1
Hammond,LA,3,1,30.5043583,-90.4611995,22,Louisiana,4
Harahan,LA,1,0,29.9404826,-90.2031313,22,Louisiana,1
Harvey,LA,10,0,29.9035387,-90.0772944,22,Louisiana,10
Houma,LA,9,1,29.5957696,-90.7195348,22,Louisiana,10
Jamestown,LA,1,0,32.3440452,-93.2118341,22,Louisiana,1
Jeanerette,LA,1,0,29.9110378,-91.6634484,22,Louisiana,1
Jefferson,LA,2,0,29.8502657,-90.1293894,22,Louisiana,2
Jena,LA,1,0,31.6832271,-92.1337448,22,Louisiana,1
Kenner,LA,7,0,29.9940924,-90.2417434,22,Louisiana,7
Kentwood,LA,1,1,30.9382358,-90.5089843,22,Louisiana,2
Krotz Springs,LA,1,0,30.5368592,-91.7528931,22,Louisiana,1
LaFayette,LA,2,1,30.2240897,-92.0198427,22,Louisiana,3
LaPlace,LA,5,1,30.0665907,-90.4800848,22,Louisiana,6
Lafayette,LA,5,0,30.2240897,-92.0198427,22,Louisiana,5
Lafayette Parish,LA,1,1,30.208284,-92.11207429,22,Louisiana,2
Lafourche Parish,LA,1,0,29.50317955,-90.36353872,22,Louisiana,1
Lake Charles,LA,5,0,30.2265949,-93.2173759,22,Louisiana,5
Larose,LA,1,1,29.572438,-90.3817483,22,Louisiana,2
Livingston Parish,LA,1,0,30.412795,-90.74105907,22,Louisiana,1
Loranger,LA,1,1,30.6357439,-90.3981441,22,Louisiana,2
Luling,LA,1,0,29.9321498,-90.3664695,22,Louisiana,1
Mansfield,LA,1,0,32.0376629,-93.7001819,22,Louisiana,1
Marrero,LA,9,1,29.8993723,-90.1003506,22,Louisiana,10
Metairie,LA,6,3,30.00135175,-90.17673135,22,Louisiana,9
Monroe,LA,2,0,32.5093109,-92.1193012,22,Louisiana,2
Morgan City,LA,1,0,29.6993748,-91.20677,22,Louisiana,1
Nairn,LA,1,0,29.4279955,-89.6108947,22,Louisiana,1
New Orleans,LA,146,17,29.9499323,-90.0701156,22,Louisiana,163
New Orleans ,LA,1,0,29.9499323,-90.0701156,22,Louisiana,1
Patterson,LA,1,1,29.6932642,-91.3020502,22,Louisiana,2
Port Allen,LA,2,0,30.4521351,-91.2101081,22,Louisiana,2
Prairieville,LA,2,0,30.3029721,-90.9720451,22,Louisiana,2
Ragley,LA,1,0,30.512699,-93.2323813,22,Louisiana,1
Reserve,LA,5,0,30.0538131,-90.5517534,22,Louisiana,5
River Ridge,LA,3,0,29.9602043,-90.2156316,22,Louisiana,3
Ruston,LA,1,0,32.5269104,-92.6463257,22,Louisiana,1
Shreveport,LA,13,0,32.5221828,-93.7651944,22,Louisiana,13
Slidell,LA,6,0,30.2751945,-89.7811745,22,Louisiana,6
Sorrento,LA,1,0,30.1843642,-90.8592632,22,Louisiana,1
St. Bernard,LA,1,0,29.8779823,-89.5969002,22,Louisiana,1
St. Joseph,LA,2,0,31.9184926,-91.2334451,22,Louisiana,2
St. Rose,LA,3,0,29.9468716,-90.3231349,22,Louisiana,3
St. Tammany Parish,LA,1,0,30.4256963,-89.96205484,22,Louisiana,1
Terrebonne,LA,1,0,29.4257758,-90.5674867,22,Louisiana,1
Terrytown,LA,1,0,29.910205,-90.0325709,22,Louisiana,1
Thibodaux,LA,2,0,29.7957633,-90.822871,22,Louisiana,2
Varnado,LA,2,0,30.8937963,-89.8295203,22,Louisiana,2
Ville Platte,LA,1,0,30.6879749,-92.2715157,22,Louisiana,1
Violet,LA,1,0,29.8957605,-89.8978439,22,Louisiana,1
Waggaman,LA,1,0,29.9185388,-90.2109093,22,Louisiana,1
West Monroe,LA,1,1,32.5184775,-92.1476353,22,Louisiana,2
Winnfield,LA,1,0,31.9254413,-92.6395932,22,Louisiana,1
Winnsboro,LA,1,0,32.1632079,-91.720681,22,Louisiana,1
Bridge City,LA,0,1,29.9332605,-90.1700748,22,Louisiana,1
Franklinton,LA,0,1,30.8471283,-90.153141,22,Louisiana,1
Jonesville,LA,0,1,31.6265595,-91.8181828,22,Louisiana,1
Longville,LA,0,1,30.6051979,-93.2318269,22,Louisiana,1
Many,LA,0,1,31.5687848,-93.4840645,22,Louisiana,1
New Iberia,LA,0,1,30.0035365,-91.8187285,22,Louisiana,1
Ponchatoula,LA,0,1,30.4388041,-90.4414762,22,Louisiana,1
Slaughter,LA,0,1,30.7174063,-91.1414958,22,Louisiana,1
St Joseph,LA,0,1,31.9184926,-91.2334451,22,Louisiana,1
Abbeville,SC,2,0,34.1781719,-82.3790148,45,South Carolina,2
Abbeville County,SC,1,0,34.2492945,-82.4732577,45,South Carolina,1
Anderson,SC,4,2,34.5068601,-82.6506264,45,South Carolina,6
Anderson County,SC,1,1,34.5153635,-82.65271264,45,South Carolina,2
Beaufort,SC,2,0,32.3850708,-80.6923169,45,South Carolina,2
Beech Island,SC,1,0,33.4273614,-81.8909473,45,South Carolina,1
Belton,SC,2,1,34.5228881,-82.4942948,45,South Carolina,3
Bennettsville,SC,3,0,34.6173803,-79.6847814,45,South Carolina,3
Bishopville,SC,1,0,34.2182107,-80.2484056,45,South Carolina,1
Blackville,SC,1,0,33.3579297,-81.2706606,45,South Carolina,1
Burton,SC,1,0,32.4357843,-80.7242883,45,South Carolina,1
Charleston,SC,8,0,32.7876012,-79.9402728,45,South Carolina,8
Charleston County,SC,1,2,32.97595765,-79.56081424,45,South Carolina,3
Chester,SC,2,0,34.5751447,-80.9019237,45,South Carolina,2
Chester County,SC,1,0,34.6830445,-81.16567344,45,South Carolina,1
Chesterfield,SC,1,0,32.7579551,-79.9914803,45,South Carolina,1
